,Autocorrelation
325,0.4938967806070284
326,0.4890643194113809
327,0.4953239041301391
328,0.5043620582929892
329,0.5110827466657812
330,0.5173130257950697
331,0.5333005877386618
332,0.5366696411137433
333,0.5260836766691239
334,0.522068055369697
335,0.5293447651085708
336,0.535256881886458
337,0.5439127808410015
338,0.5612674413616152
339,0.5652699901626121
340,0.5575942717260165
341,0.5588543653379417
342,0.5658253058941559
343,0.5702066704523934
344,0.577439074810237
345,0.5978697519453472
346,0.6019366701907228
347,0.5871589231321964
348,0.5844239345281095
349,0.5883610772294524
350,0.5871072852051831
351,0.5940389887793196
352,0.6106978232377942
353,0.6075835264886524
354,0.5934407930928441
355,0.5925638789223422
356,0.5985615420976012
357,0.5997048558713945
358,0.6129921634741571
359,0.6307172004069962
360,0.6290946056412199
361,0.6156158030009411
362,0.613896405003934
363,0.6153162118177745
364,0.6125913524842254
365,0.6234460515476308
366,0.6449618926385193
367,0.642505546067658
368,0.6262598424330452
369,0.6239377968345896
370,0.6194077392767855
371,0.6138153123950335
372,0.6196809293821818
373,0.6342278460290948
374,0.6303621082903667
375,0.6103622234347312
376,0.6045826871988754
377,0.6018212438890764
378,0.5948533838577514
379,0.5994488029873931
380,0.6149492010605955
381,0.6126506030028906
382,0.5973954748287078
383,0.590930436812294
384,0.585485595466331
385,0.5753430820998009
386,0.5782522920299143
387,0.5929496637058691
388,0.5870168444646053
389,0.5690078629296789
390,0.5623016336262131
391,0.5576513112336309
392,0.5528089232659129
393,0.5586620180799394
394,0.5722431478167356
395,0.5662667014351046
396,0.5456551187040811
397,0.5338362016255167
398,0.5273906840985028
399,0.5213260820797384
400,0.5240955251242865
401,0.5323870918006105
402,0.5213881983314418
403,0.501556240774142
404,0.4887107935752269
405,0.47707555081486774
406,0.469420817584117
407,0.47555491471476785
408,0.4872962875342241
409,0.481765801654713
410,0.46165178616041846
411,0.44882810340756574
412,0.4360198640007998
413,0.4247241089134637
414,0.4260478946849332
415,0.43368559387140876
416,0.42527062688290623
417,0.404838414872285
418,0.38686576654736715
419,0.36950236631694444
420,0.3591838181659145
421,0.359346405772544
422,0.3664291783477973
423,0.35634171685765315
424,0.3296321841408329
425,0.313553571591973
426,0.2964454051556894
427,0.2805255357526346
428,0.279499751229561
429,0.28535882166780013
430,0.2762275397411067
431,0.25658883292651274
432,0.2417807171981371
433,0.22758566307166056
434,0.21491443758536544
435,0.21394658890580745
436,0.22147236563980308
437,0.2123069317300151
438,0.19414779166920837
439,0.18375790357933872
440,0.17373893401301047
441,0.16524495536094483
442,0.1643561177261407
443,0.16624892119613596
444,0.15426154135900516
445,0.13268648492726473
446,0.1204850285587046
447,0.10987883010103079
448,0.10017072201548544
449,0.10014814302352285
450,0.10300667890342258
451,0.0873446478174019
452,0.06473283163960487
453,0.05475316918601051
454,0.041649783919120255
455,0.02860145057519827
456,0.027693669466971528
457,0.02851062853270508
458,0.015373873877586222
459,-0.003440422373457794
460,-0.013148566482616468
461,-0.028164191430979844
462,-0.03962769961037671
463,-0.03956087547407444
464,-0.03536835802062991
465,-0.048834369824505626
466,-0.07084079790190517
467,-0.08360723517036026
468,-0.0947136346919141
469,-0.1040060669494022
470,-0.1005007525246174
471,-0.09903414124029854
472,-0.11293737699986879
473,-0.13346243712386618
474,-0.14548635073946337
475,-0.15745751114823064
476,-0.16800462927642595
477,-0.1688180380585207
478,-0.16677826432565845
479,-0.17659208416632446
480,-0.19679052642402203
481,-0.2056601027046376
482,-0.21184910394046452
483,-0.22140518317639568
484,-0.22663966538127794
485,-0.224974269635966
486,-0.23251678802633144
487,-0.25071272049181126
488,-0.26122529817548035
489,-0.268315279273899
490,-0.2736988641432298
491,-0.27149112725772095
492,-0.26892348172724617
493,-0.27681774405424475
494,-0.29439645208883786
495,-0.3052128798065869
496,-0.3097379279092481
497,-0.3161023784101414
498,-0.31645458881410754
499,-0.3105162863695024
500,-0.3156477692074475
501,-0.33365418218798015
502,-0.34327069129017673
503,-0.34847212595137805
504,-0.34979068790767975
505,-0.3516578804738444
506,-0.35006418906218023
507,-0.35604440785054203
508,-0.37274607905725454
509,-0.38059460502266224
510,-0.38735962808258173
511,-0.3909322733434517
512,-0.3892577784236519
513,-0.38201560775799126
514,-0.3876124058326659
515,-0.4012135825469615
516,-0.4039815746183247
517,-0.40495386115311227
518,-0.40965784620173473
519,-0.412116741916631
520,-0.4092130626897201
521,-0.41604555181899344
522,-0.42661794995701136
523,-0.4287263876716064
524,-0.4314989277578288
525,-0.4373629193106166
526,-0.4418779946779424
527,-0.4368390457934808
528,-0.443132075404826
529,-0.454592270494464
530,-0.45483093947096953
531,-0.4551611624862888
532,-0.4559685111795744
533,-0.45544777840546996
534,-0.4513473702756169
535,-0.4569283565508339
536,-0.46621245254140714
537,-0.4640662563504307
538,-0.4684169858531061
539,-0.47236218859998363
540,-0.46992706959746183
541,-0.46401308132446367
542,-0.46629297433504835
543,-0.4716664768338953
544,-0.4705383731430933
545,-0.47011532398495576
546,-0.4727282180992342
547,-0.47307314416396923
548,-0.4692061104343955
549,-0.46808402410462063
550,-0.46882718800640416
551,-0.4638856735943237
552,-0.4657155631784385
553,-0.4672352638656915
554,-0.4639287710949947
555,-0.45754644456673266
556,-0.45730731616036746
557,-0.4579437728049035
558,-0.4520033363610413
559,-0.4538240698556013
560,-0.45857711102082555
561,-0.4571101022053598
562,-0.44880596228670677
563,-0.4458787388583981
564,-0.44263609697292433
565,-0.43488593020886435
566,-0.4349352550209653
567,-0.4381215636112726
568,-0.4344487731181216
569,-0.42866224886919013
570,-0.4261170590076749
571,-0.419675186865993
572,-0.40633424588879413
573,-0.4087405796502839
574,-0.41046059377410143
575,-0.40743280801851284
576,-0.40071943676576904
577,-0.39815320319720576
578,-0.39145820261899034
579,-0.38051987875354915
580,-0.38057152852928633
581,-0.3796247531308338
582,-0.37310710823265836
583,-0.3640938612042493
584,-0.3609073001582901
585,-0.3532359665586947
586,-0.34206947315606806
587,-0.34122217972763585
588,-0.34361704017964256
589,-0.3402571527228112
590,-0.33368515042431174
591,-0.3298013039774659
592,-0.31758402152426307
593,-0.3030958044678933
594,-0.3016743895926068
595,-0.298264244278754
596,-0.2914956878039831
597,-0.2879577518477056
598,-0.2848113395081461
599,-0.2710490427902158
600,-0.2553564683965551
601,-0.2546581071406623
602,-0.25219489680326357
603,-0.24535818011202318
604,-0.23790885830127767
605,-0.23305860095868228
606,-0.22102138042610156
607,-0.20641152230986376
608,-0.20521684507985608
609,-0.19963087010805192
610,-0.19050419513673228
611,-0.18037066511085176
612,-0.17262247518792181
613,-0.15850876427894553
614,-0.1409739703176425
615,-0.14238041332445794
616,-0.1398343099067053
617,-0.13353466495534738
618,-0.12508840322998777
619,-0.11578170122752016
620,-0.09976495930888007
621,-0.08715146617108366
622,-0.08957236815688756
623,-0.08509577709728691
624,-0.07656910750589827
625,-0.06789617923925832
626,-0.059285024067793325
627,-0.041589768451955146
628,-0.02532962780748595
629,-0.027140901730698077
630,-0.02713214818171266
631,-0.020306209646621193
632,-0.015994305958635067
633,-0.012663876015902124
634,0.0065512766291326765
635,0.02736193507198766
636,0.02793077968929377
637,0.0320755439503813
638,0.0411946097176585
639,0.04789343649566938
640,0.054683755106595316
641,0.07471511965585752
642,0.08890424260051033
643,0.08817239028219878
644,0.09004779607756273
645,0.09801721965155706
646,0.10435296032745943
647,0.11391034837409855
648,0.1309560081110416
649,0.14636502381051403
650,0.14598560081649112
651,0.14600496614371253
652,0.15270782615638506
653,0.16150676792948052
654,0.17202134273529424
655,0.19248584278767514
656,0.20731698197674214
657,0.20390233789939158
658,0.20498398408878607
659,0.2128567682734216
660,0.22217966874269993
661,0.22838856244255554
662,0.2449820393993374
663,0.260883984812534
664,0.26126366777234095
665,0.26353040973699476
666,0.27367818230058266
667,0.283308268293121
668,0.2918445663596
669,0.30856967278176056
670,0.32412871391831455
671,0.32271687235417096
672,0.3208298408086557
673,0.32456300880093064
674,0.3299408485099437
675,0.3404109273720551
676,0.3606478201246317
677,0.37926657402304637
678,0.3755940542482006
679,0.3702716902192857
680,0.37140226022263517
681,0.3738819271959953
682,0.3828322705790522
683,0.4010559478035018
684,0.4172975191259601
685,0.41764134342804127
686,0.41837776581448255
687,0.4217947385419372
688,0.42567889758671407
689,0.43045631370364884
690,0.44763074361778765
691,0.4616817554180701
692,0.45613869297015164
693,0.4512167792512463
694,0.45395033789779765
695,0.4555538802463968
696,0.4582320783167633
697,0.4752462560907081
698,0.49505002437947676
699,0.48881061140970405
700,0.48436913283002314
701,0.4851244971174748
702,0.48136974747126915
703,0.48671540165993116
704,0.5087789290409336
705,0.5265542796815977
706,0.5211002608730833
707,0.517678511322944
708,0.5224260190507155
709,0.5230885555817255
710,0.5270727844642221
711,0.5451206771397574
712,0.5638739479033877
713,0.5558437158940385
714,0.5481018072866579
715,0.5472058715840683
716,0.5439920567752538
717,0.5453473848644442
718,0.5621578546387475
719,0.5735043162170901
720,0.5602507531813753
721,0.5535662348280198
722,0.5543908782668461
723,0.5516679376430944
724,0.5522145103875201
725,0.5730242366940071
726,0.5944377889133583
727,0.5788328793899932
728,0.5636264481947822
729,0.5636674532426353
730,0.5578403950314793
731,0.5610212282518497
732,0.5748045752569281
733,0.5838404418063682
734,0.5644750034169075
735,0.5477565972921633
736,0.5456526554213953
737,0.5416311787387923
738,0.5414287096199704
739,0.5544541511214653
740,0.5653747948506237
741,0.5471306014702858
742,0.5302126477421575
743,0.5225035860494633
744,0.5134665996975287
745,0.5143171407283719
746,0.5294759007175059
747,0.5377146745262957
748,0.5170995234161244
749,0.4985357221901897
750,0.4901012432427355
751,0.4814252613714817
752,0.4791704344322526
753,0.4949551027172922
754,0.5031576666187985
755,0.48174083920988164
756,0.4620224881660227
757,0.45297958917907644
758,0.44839846756813273
759,0.4510350778887855
760,0.4673125682800569
761,0.47867800483370687
762,0.4572727848793296
763,0.4353110025552781
764,0.4234226204853245
765,0.41447538424259084
766,0.4184353581725435
767,0.4341044331532271
768,0.4414401727334814
769,0.42199590660798536
770,0.3997487395956531
771,0.38435740127395196
772,0.3768429955384732
773,0.379072552190061
774,0.39471219880459174
775,0.40241033793161524
776,0.3823423745526731
777,0.363705474199375
778,0.35077673607081766
779,0.34103010230778935
780,0.341017517356102
781,0.3563581976536834
782,0.36310734428176733
783,0.3396329448839942
784,0.31517374461761066
785,0.299423606909737
786,0.2897986675104688
787,0.2879925065571864
788,0.29715834217583154
789,0.3008075372603403
790,0.2756397865684154
791,0.25302581673230423
792,0.23839139057793512
793,0.22411983919148176
794,0.22189600979247923
795,0.23300648447047706
796,0.2353040706912788
797,0.20887549458714522
798,0.18373129569221713
799,0.16789816219548367
800,0.1569707744614137
801,0.15681503276983316
802,0.17246207856598414
803,0.17469493512785086
804,0.14598430356772543
805,0.1258439183354066
806,0.10897374063094356
807,0.0997434394568367
808,0.10530957788697515
809,0.11955445230668268
810,0.11911654759246158
811,0.08970111406355721
812,0.06846724200282261
813,0.050988184265887
814,0.038635633995669515
815,0.04242713594681216
816,0.056148162513094284
817,0.05204142601857971
818,0.026510780226733435
819,0.005549230899077595
820,-0.015626687566891156
821,-0.026792917129333533
822,-0.019789999796197357
823,-0.003821202269125443
824,-0.008345121161261322
825,-0.03789463369278413
826,-0.05918334289153389
827,-0.07765678728516498
828,-0.0895327740769136
829,-0.0867394710953004
830,-0.07269870518286324
831,-0.07581255558576999
832,-0.10422993680719
833,-0.12521761500355655
834,-0.14243244553328885
835,-0.15338949457184947
836,-0.1464203583871149
837,-0.13082066488691035
838,-0.13614152567946997
839,-0.16460775222358406
840,-0.1861980771146778
841,-0.20136863861013773
842,-0.2106283203879474
843,-0.20746398993810702
844,-0.19347916587049807
845,-0.19788024528990644
846,-0.2281537196464967
847,-0.24675831968716852
848,-0.2583235569703889
849,-0.26600497021699254
850,-0.2620474256005643
851,-0.24703233419086748
852,-0.2519930274111776
853,-0.27909630580831746
854,-0.29799213610557507
855,-0.30883930577986307
856,-0.31384122937233433
857,-0.3101250959420128
858,-0.29846121066546
859,-0.3029548133194785
860,-0.3301836359062617
861,-0.3471388883714129
862,-0.35713856900446744
863,-0.36015410538989495
864,-0.35474320563309103
865,-0.34401634995444885
866,-0.3527259255490125
867,-0.38437959142452816
868,-0.40712135506347513
869,-0.4204397859009227
870,-0.420638117989081
871,-0.40754796603407795
872,-0.3929870475107844
873,-0.3988089615333653
874,-0.4287719562033164
875,-0.4503860834964858
876,-0.4627881197235013
877,-0.46290386519328947
878,-0.44743856800803605
879,-0.42927904602884315
880,-0.4304770673626808
881,-0.45545898377794936
882,-0.4720231318938992
883,-0.4811836010750076
884,-0.4836712626634563
885,-0.47200792060022073
886,-0.45714469194535373
887,-0.4654159149919684
888,-0.4936577350543417
889,-0.5103000734330433
890,-0.5202672157095787
891,-0.5186287699964195
892,-0.5066376176550015
893,-0.49187824277778724
894,-0.49434172313674246
895,-0.5184164531165725
896,-0.5319736837118227
897,-0.5343660741032908
898,-0.5300172361565387
899,-0.5145284846404896
900,-0.49942823463386055
901,-0.5052044802106245
902,-0.5277789339545685
903,-0.5419260704508703
904,-0.5437627667307499
905,-0.5388977114710279
906,-0.525063684597183
907,-0.5100049131693749
908,-0.5131809378546869
909,-0.5329717511437861
910,-0.5411025568867129
911,-0.543741818295113
912,-0.5401709785697033
913,-0.5241930377801406
914,-0.5077300057196015
915,-0.5127267697567155
916,-0.5356157591987927
917,-0.5472386233945957
918,-0.5461347291401351
919,-0.5351857448525399
920,-0.5181841903187487
921,-0.5074087715780623
922,-0.5163971779981955
923,-0.5360511409383675
924,-0.5397582022126703
925,-0.5370972644978409
926,-0.5282960039102733
927,-0.5099870881184093
928,-0.49772639270825114
929,-0.502603852927361
930,-0.5188758387405781
931,-0.5237352928625953
932,-0.5199794258922534
933,-0.5085832945160869
934,-0.49117362814348886
935,-0.48293939638496286
936,-0.4917745686210582
937,-0.506921504488393
938,-0.5076315195104216
939,-0.5021889544418118
940,-0.48707076778319197
941,-0.46810939241336047
942,-0.4596738719277425
943,-0.4655825577309476
944,-0.47443106337723023
945,-0.46708579284790835
946,-0.4596781924239944
947,-0.4453253437982067
948,-0.4245929799819343
949,-0.4131873071172598
950,-0.41947423480192364
951,-0.42761854033911234
952,-0.4201449715375328
953,-0.41181149893274843
954,-0.39254031146590024
955,-0.37195465822415436
956,-0.35984048061981305
957,-0.36042940634225823
958,-0.36496044104785375
959,-0.36392605351222995
960,-0.3633368164640223
961,-0.3515532247539118
962,-0.3339826023500712
963,-0.3234061482629216
964,-0.3265599157630542
965,-0.32862934293046875
966,-0.32162403741924406
967,-0.3137873776660299
968,-0.29756821506776937
969,-0.2772679840766599
970,-0.26228824001022677
971,-0.2647231657727486
972,-0.26880187126418437
973,-0.25987307001402044
974,-0.2509592035124241
975,-0.2344370022571113
976,-0.21143967784935472
977,-0.19823043685897865
978,-0.2014181054911601
979,-0.20615316214179966
980,-0.20131833480110012
981,-0.19326669828889848
982,-0.17371190257937585
983,-0.14587027851220233
984,-0.1345282140868414
985,-0.1364235830094491
986,-0.13512721495537813
987,-0.12333743575350883
988,-0.1158861948926933
989,-0.10089683019772387
990,-0.07834561783710657
991,-0.07127865343657475
992,-0.07509228650001269
993,-0.07411865424136964
994,-0.06111775111163429
995,-0.05002011920914173
996,-0.03176608767786612
997,-0.014524428302788803
998,-0.006602553761037172
999,-0.009956097144694826
1000,-0.01472631633923596
1001,-0.011069781965809251
1002,-0.004717745098534714
1003,0.018477344302649756
1004,0.043683345023732674
1005,0.05082420185561187
1006,0.04892986735401046
1007,0.05104341507865158
1008,0.05699783402051654
1009,0.06454455512064793
1010,0.08337019155572024
1011,0.10382090332478155
1012,0.11326519029558493
1013,0.11452529245298236
1014,0.1138797553500318
1015,0.12040296473676125
1016,0.12680801330604616
1017,0.14524915889753068
1018,0.16024042823725207
1019,0.16497173473760351
1020,0.16416529070072056
1021,0.16412166895855693
1022,0.17204523055977658
1023,0.17667951526859524
1024,0.19559783649907792
1025,0.21543326089960574
1026,0.21934897064029876
1027,0.21948553018175487
1028,0.21975457201630208
1029,0.22552907515450776
1030,0.2295549609593185
1031,0.24262052672060405
1032,0.2584372092919738
1033,0.2605538269427432
1034,0.25960321541944
1035,0.2644560356513297
1036,0.2736510758844944
1037,0.27680159258953335
1038,0.2838184795600602
1039,0.29362895910326664
1040,0.29468645404048976
1041,0.29315057636052205
1042,0.2948465445434586
1043,0.2993173872799796
1044,0.29979224546531674
1045,0.3099406575779051
1046,0.323786245742453
1047,0.32649705888615066
1048,0.3280286272694648
1049,0.33453840788159644
1050,0.34175308285924605
1051,0.34489386504691755
1052,0.3536426208771223
1053,0.3636167439428503
1054,0.36981537859169755
1055,0.37072862140997964
1056,0.37640856443717774
1057,0.3805740467392404
1058,0.385571508325732
1059,0.3975145223888923
1060,0.4099974874456856
1061,0.41327074012172077
1062,0.4120048386151464
1063,0.4159795484329475
1064,0.4279566323408522
1065,0.4314091555613564
1066,0.43518635705329256
1067,0.4460438401099619
1068,0.44869283487747874
1069,0.45051767457918973
1070,0.45357118448616407
1071,0.4592059171170348
1072,0.46204118239199643
1073,0.4651089135880572
1074,0.47564108370784575
1075,0.4800987746021939
