,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.8521087425497029,0.8480894704232311,-0.23395406165024193,0.8013761608721411,-0.32209082766313,0.5644385275706614,0.7802813399366418,0.9024459946006279,0.19599059127678714,-0.24077423955550573,0.5423147982290402,0.10892366972431174,0.2091477993039874,0.8440554959151266,0.8440639690973699,0.7920560018867158,-0.08988153594232774,0.11326345415167163
FossilGas[MW],0.8521087425497029,1.0,0.8266723059814338,-0.300914006780905,0.7472260331124723,-0.2292392761661573,0.6903115890667617,0.729702528310522,0.8869145522397418,0.21698915407304736,-0.23418317824699203,0.5722208701366894,0.06380882754204656,0.17581256455379424,0.8793116552666199,0.8792956516899936,0.8568896469520741,-0.13864573521114487,0.16185916874595854
FossilHardcoal[MW],0.8480894704232311,0.8266723059814338,1.0,-0.16402916310228735,0.8234862201203941,-0.14360731834017418,0.6758588730234842,0.6755130347458971,0.8297007440067731,0.16272719573459876,-0.1547984303370568,0.5530112993839659,-0.05316697266528875,0.05766689351085588,0.861057509101964,0.8610617123988081,0.816280283486558,-0.24794294864466115,0.26661018998277547
FossilOil[MW],-0.23395406165024193,-0.300914006780905,-0.16402916310228735,1.0,-0.25376374250451833,-0.11177077403511314,-0.22263447842331893,-0.16954472232176346,-0.29902400877835095,-0.1823379016448465,0.3119467378964138,-0.031819357801315715,-0.17764263854442044,-0.3017512882580247,-0.1761016933580583,-0.17594244232553716,-0.31464150083073933,-0.1808008446563173,0.15905278491695496
FossilPeat[MW],0.8013761608721411,0.7472260331124723,0.8234862201203941,-0.25376374250451833,1.0,-0.15507197760749736,0.5775603284744256,0.7399387715978932,0.814360457204884,0.12767779269712293,-0.2079165292437039,0.47721069055956294,0.10363114509301971,0.13086351965299436,0.8142073160173237,0.8141475944082067,0.7693175296136939,-0.141997905635325,0.16328115789064374
HydroRun-of-riverandpoundage[MW],-0.32209082766313,-0.2292392761661573,-0.14360731834017418,-0.11177077403511314,-0.15507197760749736,1.0,0.3652425320865246,-0.4691232661996574,-0.3830076133805022,-0.25289043246494436,0.254854792481924,-0.15769118118689085,-0.12628195208401943,-0.20247552989003373,-0.13927480868519018,-0.13917743260299073,0.09331623840909,-0.2419296373511635,0.2270378963316432
HydroWaterReservoir[MW],0.5644385275706614,0.6903115890667617,0.6758588730234842,-0.22263447842331893,0.5775603284744256,0.3652425320865246,1.0,0.3391308303300289,0.5244196378543812,0.010839796385853763,0.0022021678199536767,0.4510214542009429,-0.12133618539519175,-0.11232107030534526,0.766932562838913,0.7669428656557583,0.8818504523929183,-0.4523878692016073,0.4619492814549338
Nuclear[MW],0.7802813399366418,0.729702528310522,0.6755130347458971,-0.16954472232176346,0.7399387715978932,-0.4691232661996574,0.3391308303300289,1.0,0.8165427130958189,0.23776328304196384,-0.2106282005727106,0.5595206095142187,0.18122034834266568,0.30271758868428744,0.8124580879712465,0.8123524831713509,0.6714566928564633,0.04879991711208311,-0.029341539975160643
Other[MW],0.9024459946006279,0.8869145522397418,0.8297007440067731,-0.29902400877835095,0.814360457204884,-0.3830076133805022,0.5244196378543812,0.8165427130958189,1.0,0.2486143308963377,-0.2976460015514427,0.5307422231357974,0.18041761826728536,0.25811685264624235,0.8413939818701974,0.8413272173649191,0.7838959405483076,-0.020013525032839572,0.04632068913795059
Otherrenewable[MW],0.19599059127678714,0.21698915407304736,0.16272719573459876,-0.1823379016448465,0.12767779269712293,-0.25289043246494436,0.010839796385853763,0.23776328304196384,0.2486143308963377,1.0,-0.1152591611797013,0.1343768887818106,0.10627402705743821,0.15483719778685412,0.18872818492255888,0.18869881504825095,0.1289585745007518,0.12393083232141132,-0.12135589233263332
Solar[MW],-0.24077423955550573,-0.23418317824699203,-0.1547984303370568,0.3119467378964138,-0.2079165292437039,0.254854792481924,0.0022021678199536767,-0.2106282005727106,-0.2976460015514427,-0.1152591611797013,1.0,-0.07265908120545918,-0.16933166820373013,-0.12632323783766225,-0.11699117663151841,-0.11691332007575368,-0.10172657006912116,-0.11385980805152104,0.044523294826291374
Waste[MW],0.5423147982290402,0.5722208701366894,0.5530112993839659,-0.031819357801315715,0.47721069055956294,-0.15769118118689085,0.4510214542009429,0.5595206095142187,0.5307422231357974,0.1343768887818106,-0.07265908120545918,1.0,-0.022862199772332073,0.030335780212118663,0.6019072459213477,0.601880517843013,0.5544162678574734,-0.16756685777041389,0.1774425173477527
WindOffshore[MW],0.10892366972431174,0.06380882754204656,-0.05316697266528875,-0.17764263854442044,0.10363114509301971,-0.12628195208401943,-0.12133618539519175,0.18122034834266568,0.18041761826728536,0.10627402705743821,-0.16933166820373013,-0.022862199772332073,1.0,0.674570990600128,0.026396823977078952,0.026551387021519,0.1532641125650234,0.7259606441266201,-0.7160304262170155
WindOnshore[MW],0.2091477993039874,0.17581256455379424,0.05766689351085588,-0.3017512882580247,0.13086351965299436,-0.20247552989003373,-0.11232107030534526,0.30271758868428744,0.25811685264624235,0.15483719778685412,-0.12632323783766225,0.030335780212118663,0.674570990600128,1.0,0.10526987110041174,0.10506779978018335,0.26286264725063385,0.8997223041572361,-0.8927327389954451
Inertia[GW],0.8440554959151266,0.8793116552666199,0.861057509101964,-0.1761016933580583,0.8142073160173237,-0.13927480868519018,0.766932562838913,0.8124580879712465,0.8413939818701974,0.18872818492255888,-0.11699117663151841,0.6019072459213477,0.026396823977078952,0.10526987110041174,1.0,1.0,0.9125121350888191,-0.24712264446043217,0.26364858323988893
Inertia,0.8440639690973699,0.8792956516899936,0.8610617123988081,-0.17594244232553716,0.8141475944082067,-0.13917743260299073,0.7669428656557583,0.8123524831713509,0.8413272173649191,0.18869881504825095,-0.11691332007575368,0.601880517843013,0.026551387021519,0.10506779978018335,1.0,1.0,0.9125220790940034,-0.24727733395779228,0.2637970391248547
Total_production,0.7920560018867158,0.8568896469520741,0.816280283486558,-0.31464150083073933,0.7693175296136939,0.09331623840909,0.8818504523929183,0.6714566928564633,0.7838959405483076,0.1289585745007518,-0.10172657006912116,0.5544162678574734,0.1532641125650234,0.26286264725063385,0.9125121350888191,0.9125220790940034,1.0,-0.11378464688054556,0.129768865992522
Share_Wind,-0.08988153594232774,-0.13864573521114487,-0.24794294864466115,-0.1808008446563173,-0.141997905635325,-0.2419296373511635,-0.4523878692016073,0.04879991711208311,-0.020013525032839572,0.12393083232141132,-0.11385980805152104,-0.16756685777041389,0.7259606441266201,0.8997223041572361,-0.24712264446043217,-0.24727733395779228,-0.11378464688054556,1.0,-0.9974693224645829
Share_Conv,0.11326345415167163,0.16185916874595854,0.26661018998277547,0.15905278491695496,0.16328115789064374,0.2270378963316432,0.4619492814549338,-0.029341539975160643,0.04632068913795059,-0.12135589233263332,0.044523294826291374,0.1774425173477527,-0.7160304262170155,-0.8927327389954451,0.26364858323988893,0.2637970391248547,0.129768865992522,-0.9974693224645829,1.0
