,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.7865681467275933,0.6225151090846421,0.04602305125891194,0.551761353138823,-0.11484287627185082,0.5314385920813648,0.727053695950698,0.8175721227304186,-0.06386688368433462,-0.2517792570352877,0.39671567192367035,0.13499114485724864,0.2008744690563527,0.7314830301858412,0.7314062911003676,0.7100444569087588,-0.02005081048656309,0.04316453508748708
FossilGas[MW],0.7865681467275933,1.0,0.8545473997529969,0.18119613880616411,0.7685535404592556,-0.15691498688339073,0.7046735550806557,0.6886624826231655,0.9177345792119227,-0.012757946735827017,-0.19637653371127337,0.535065695829416,0.08039728920023059,0.1763758852183171,0.8544860149271765,0.8544274276584054,0.857643008505206,-0.09805462029693882,0.11974691679345029
FossilHardcoal[MW],0.6225151090846421,0.8545473997529969,1.0,0.21102935482427046,0.8365043126733239,-0.08715454496188536,0.7634469195281668,0.5673496953064541,0.7959253017567229,-0.03924698270928267,-0.11943866519936384,0.4424846979771583,-0.060872136820950835,0.008210353680175557,0.8380410991282461,0.8379834835635536,0.839782260920104,-0.2742117123502145,0.2927356862075591
FossilOil[MW],0.04602305125891194,0.18119613880616411,0.21102935482427046,1.0,0.1161862876043311,0.2908053227971843,0.29716634972476486,-0.004705085352161433,0.07165815051562423,-0.09479046909244669,0.5167384457797416,0.21234065272812438,-0.1291941804122209,-0.07806493965180555,0.19651035370004177,0.19655668941832147,0.2503360205610144,-0.17503581845699975,0.1449302302260291
FossilPeat[MW],0.551761353138823,0.7685535404592556,0.8365043126733239,0.1161862876043311,1.0,-0.1118745904286618,0.6166615935616753,0.5243398703207878,0.7607251356308811,-0.09445578596205521,-0.22762193993937738,0.2900492950843381,0.13831829832688078,0.1768620868986222,0.7260637262627636,0.7259744613241496,0.7498132224736956,-0.06776257718443328,0.09123984153254505
HydroRun-of-riverandpoundage[MW],-0.11484287627185082,-0.15691498688339073,-0.08715454496188536,0.2908053227971843,-0.1118745904286618,1.0,0.39236014209992465,-0.36171519051119594,-0.21239499099031778,-0.3580883904360328,0.4186291096637195,-0.06081712076716365,-0.2040323361411241,-0.3178052641735043,0.038130558615920275,0.03839189878542187,0.1692635673667226,-0.3756867688505621,0.35386583848396
HydroWaterReservoir[MW],0.5314385920813648,0.7046735550806557,0.7634469195281668,0.29716634972476486,0.6166615935616753,0.39236014209992465,1.0,0.37842709689975884,0.6560948954033747,-0.13540620783812105,0.05241419280538689,0.41352605237320816,-0.15514841434049126,-0.16900921952283157,0.8744576898511562,0.8744635289454754,0.9161601011367699,-0.4757341619852725,0.485489640827392
Nuclear[MW],0.727053695950698,0.6886624826231655,0.5673496953064541,-0.004705085352161433,0.5243398703207878,-0.36171519051119594,0.37842709689975884,1.0,0.7213793479370131,0.18999470142131158,-0.30821190693037637,0.3878410604777936,0.17631695694984112,0.32519000238827817,0.7306895410515116,0.7306199066285658,0.6376341092102387,0.09564470996973973,-0.07042155466178082
Other[MW],0.8175721227304186,0.9177345792119227,0.7959253017567229,0.07165815051562423,0.7607251356308811,-0.21239499099031778,0.6560948954033747,0.7213793479370131,1.0,0.02011302876004254,-0.3189780031283075,0.466742165764848,0.1510093455366898,0.2337625570703258,0.8466377994135396,0.846569512314913,0.8327209249542951,-0.02851176786580044,0.056947179387428666
Otherrenewable[MW],-0.06386688368433462,-0.012757946735827017,-0.03924698270928267,-0.09479046909244669,-0.09445578596205521,-0.3580883904360328,-0.13540620783812105,0.18999470142131158,0.02011302876004254,1.0,-0.1056444245162684,0.1485766861024896,0.05018333817591024,0.12408958514337244,-0.005274134265874619,-0.0053588170536707416,-0.06354977024564014,0.12282394944731415,-0.1217167836462092
Solar[MW],-0.2517792570352877,-0.19637653371127337,-0.11943866519936384,0.5167384457797416,-0.22762193993937738,0.4186291096637195,0.05241419280538689,-0.30821190693037637,-0.3189780031283075,-0.1056444245162684,1.0,0.034992408648464216,-0.1858688356835789,-0.20714021867788063,-0.13708187264477725,-0.1369965995915498,-0.07522881432228257,-0.19839658160160667,0.13331306871939333
Waste[MW],0.39671567192367035,0.535065695829416,0.4424846979771583,0.21234065272812438,0.2900492950843381,-0.06081712076716365,0.41352605237320816,0.3878410604777936,0.466742165764848,0.1485766861024896,0.034992408648464216,1.0,-0.0367138614694857,-0.01610543102746741,0.4762486090635737,0.476114942405283,0.46179259654806915,-0.16204586078966227,0.1638937242683344
