,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.9010448395180709,0.8312823998995734,0.31594671516238654,0.831514197361863,0.2559710984803159,0.7069717667710866,0.6763274538929792,0.8547059575776677,0.25148653151056954,-0.35069808540432224,0.06773192171850696,0.1378223853565591,0.081399623685831,0.8231020440532025,0.22502781360644555,0.8290272468139289,-0.20452215172761823,0.24035248618584992
FossilGas[MW],0.9010448395180709,1.0,0.8255297902202312,0.35535956566368654,0.845503885025526,0.1862910683486286,0.7739882412340875,0.5884016568970615,0.8504023880366522,0.1928884036350164,-0.3093211547301578,0.0859828353421317,0.1374780413707955,0.07270909364881968,0.844114239340965,0.27122992750193137,0.857614297445538,-0.2101611101849975,0.2428544412528264
FossilHardcoal[MW],0.8312823998995734,0.8255297902202312,1.0,0.38482574555395344,0.8191552765510626,0.2363581822850561,0.7382195391312384,0.6734582181053882,0.8597317968472094,0.25720993146966453,-0.20210346577109137,0.08516776723204737,-0.02733090978039617,-0.11908503981840315,0.854831162317586,0.1893567582221496,0.8046066410447525,-0.3906104569899621,0.4158902223877079
FossilOil[MW],0.31594671516238654,0.35535956566368654,0.38482574555395344,1.0,0.3217336739963338,0.26032972220644723,0.40555436334750805,0.254668399773015,0.3423387364073347,0.10489339722964199,-0.0004947704252200321,0.11091402969949024,-0.008501852473983119,-0.039741751368028086,0.4108943131401965,0.11959902953142529,0.4108898068547381,-0.18255735026030323,0.18751236584789155
FossilPeat[MW],0.831514197361863,0.845503885025526,0.8191552765510626,0.3217336739963338,1.0,0.25006243432278924,0.7240833123317889,0.5477476629302565,0.7964769149377291,0.16358746344499742,-0.2697536801475972,0.12156583806385445,0.13066026948248563,0.02177379506161516,0.7998562285195835,0.1337181639598668,0.8001303450939925,-0.24544581109868907,0.2757711631417818
HydroRun-of-riverandpoundage[MW],0.2559710984803159,0.1862910683486286,0.2363581822850561,0.26032972220644723,0.25006243432278924,1.0,0.5462113664360647,-0.017923462324542016,0.21479235399756805,-0.10635213463242606,0.16611126958922973,-0.15586791745053186,-0.03165390108283462,-0.0707901714180627,0.42893124149123035,0.25044119875624044,0.48369332966412515,-0.2624027371183016,0.2576159431649928
HydroWaterReservoir[MW],0.7069717667710866,0.7739882412340875,0.7382195391312384,0.40555436334750805,0.7240833123317889,0.5462113664360647,1.0,0.4026972461466179,0.6776438474467913,0.08102788760642532,-0.031016375743405565,0.13141361957576747,-0.026870715626037687,-0.12958390973088724,0.9143058434951884,0.34387211594307354,0.9299659984520339,-0.4626323447900564,0.47668731634386335
Nuclear[MW],0.6763274538929792,0.5884016568970615,0.6734582181053882,0.254668399773015,0.5477476629302565,-0.017923462324542016,0.4026972461466179,1.0,0.7165853535331078,0.4518739665028956,-0.23095839472033078,0.22931929269870707,0.1649080268151362,0.1370904112930228,0.6807575185662689,0.09610728088715331,0.6038057976830168,-0.07671727048011112,0.09870902852302788
Other[MW],0.8547059575776677,0.8504023880366522,0.8597317968472094,0.3423387364073347,0.7964769149377291,0.21479235399756805,0.6776438474467913,0.7165853535331078,1.0,0.2762767698122627,-0.2858078686091819,0.07538597337914256,0.1652389804419516,0.09611264364191055,0.8312863277156196,0.2513728746469608,0.8173993518142616,-0.1948778262446161,0.22484392877554893
Otherrenewable[MW],0.25148653151056954,0.1928884036350164,0.25720993146966453,0.10489339722964199,0.16358746344499742,-0.10635213463242606,0.08102788760642532,0.4518739665028956,0.2762767698122627,1.0,-0.08884170478834028,0.22314850583928483,0.10722949809477866,0.07864064352805807,0.22498242334283428,-0.0284616325661038,0.18860114699719244,0.028306707954279302,-0.023852315017061167
Solar[MW],-0.35069808540432224,-0.3093211547301578,-0.20210346577109137,-0.0004947704252200321,-0.2697536801475972,0.16611126958922973,-0.031016375743405565,-0.23095839472033078,-0.2858078686091819,-0.08884170478834028,1.0,-0.0361621009627329,-0.2074913248674669,-0.16165929536068904,-0.12690115943192343,-0.05732689506738579,-0.13287153048368833,-0.14929821367546553,0.07007509287817805
Waste[MW],0.06773192171850696,0.0859828353421317,0.08516776723204737,0.11091402969949024,0.12156583806385445,-0.15586791745053186,0.13141361957576747,0.22931929269870707,0.07538597337914256,0.22314850583928483,-0.0361621009627329,1.0,-0.13503720849076192,-0.12131393129900678,0.1453537036757358,0.017991364628001903,0.10192979367549607,-0.14345337815903236,0.1465296134816335
WindOffshore[MW],0.1378223853565591,0.1374780413707955,-0.02733090978039617,-0.008501852473983119,0.13066026948248563,-0.03165390108283462,-0.026870715626037687,0.1649080268151362,0.1652389804419516,0.10722949809477866,-0.2074913248674669,-0.13503720849076192,1.0,0.7389322993894637,0.05585811637839783,-0.0457583563525848,0.2155722979794658,0.7012723369542264,-0.687902593557298
WindOnshore[MW],0.081399623685831,0.07270909364881968,-0.11908503981840315,-0.039741751368028086,0.02177379506161516,-0.0707901714180627,-0.12958390973088724,0.1370904112930228,0.09611264364191055,0.07864064352805807,-0.16165929536068904,-0.12131393129900678,0.7389322993894637,1.0,-0.03887087204822764,-0.022620235771686082,0.16899368011096336,0.9076239739438177,-0.899635833420358
Inertia[GW],0.8231020440532025,0.844114239340965,0.854831162317586,0.4108943131401965,0.7998562285195835,0.42893124149123035,0.9143058434951884,0.6807575185662689,0.8312863277156196,0.22498242334283428,-0.12690115943192343,0.1453537036757358,0.05585811637839783,-0.03887087204822764,1.0,1.0,0.943825525288536,-0.3831702843415867,0.4037612706241965
Inertia,0.22502781360644555,0.27122992750193137,0.1893567582221496,0.11959902953142529,0.1337181639598668,0.25044119875624044,0.34387211594307354,0.09610728088715331,0.2513728746469608,-0.0284616325661038,-0.05732689506738579,0.017991364628001903,-0.0457583563525848,-0.022620235771686082,1.0,1.0,0.3140449767185558,-0.13496252255021013,0.14219942505251482
Total_production,0.8290272468139289,0.857614297445538,0.8046066410447525,0.4108898068547381,0.8001303450939925,0.48369332966412515,0.9299659984520339,0.6038057976830168,0.8173993518142616,0.18860114699719244,-0.13287153048368833,0.10192979367549607,0.2155722979794658,0.16899368011096336,0.943825525288536,0.3140449767185558,1.0,-0.19286708030245342,0.2133575051853544
Share_Wind,-0.20452215172761823,-0.2101611101849975,-0.3906104569899621,-0.18255735026030323,-0.24544581109868907,-0.2624027371183016,-0.4626323447900564,-0.07671727048011112,-0.1948778262446161,0.028306707954279302,-0.14929821367546553,-0.14345337815903236,0.7012723369542264,0.9076239739438177,-0.3831702843415867,-0.13496252255021013,-0.19286708030245342,1.0,-0.996707360303446
Share_Conv,0.24035248618584992,0.2428544412528264,0.4158902223877079,0.18751236584789155,0.2757711631417818,0.2576159431649928,0.47668731634386335,0.09870902852302788,0.22484392877554893,-0.023852315017061167,0.07007509287817805,0.1465296134816335,-0.687902593557298,-0.899635833420358,0.4037612706241965,0.14219942505251482,0.2133575051853544,-0.996707360303446,1.0
