,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroPumpedStorage[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Inertia,Total_production,Share_Wind,Share_Conv
Biomass[MW],1.0,0.686863210506776,0.712965691574531,0.5333233293497943,0.7054305719908239,0.1587618031520344,0.427410470630292,0.607338755746442,0.6659440587521565,0.7541143740040713,-0.08716568191269505,-0.28332470963513573,0.043037664753439,0.008506045436534054,0.13392616692698858,0.7812767503037755,0.7812109621876199,0.7792310639014274,-0.12840383684907805,0.15847713400235655
FossilGas[MW],0.686863210506776,1.0,0.8435280964070488,0.4975417047254329,0.7681433006227065,0.43728905084786035,0.1373914755760543,0.799570353537567,0.6283493853662077,0.826933328755313,-0.04368716992811364,-0.1973312632668996,0.17043545603365365,-0.06629771314437685,-0.016640464918933284,0.8376411106030729,0.8377582274864265,0.8310084622584615,-0.27438810193877894,0.2985030212406685
FossilHardcoal[MW],0.712965691574531,0.8435280964070488,1.0,0.4680980977492027,0.8296253182311334,0.3634820808213194,0.24064352292328686,0.7413681035081218,0.6518191267291262,0.8606373914341788,0.029939476783871308,-0.26525030119170256,0.0359746348308959,-0.046347924056874205,0.06227186945238187,0.8342128621339352,0.8341997321301781,0.8433789731810468,-0.21025707161815824,0.2382334396772815
FossilOil[MW],0.5333233293497943,0.4975417047254329,0.4680980977492027,1.0,0.45902668126658325,0.01340918524923775,0.35798457168924186,0.40737046666800586,0.4102949822144308,0.5113510605235646,-0.19447455688327991,-0.1378175940567863,0.20496360535074631,0.08816892724889465,0.14852660981366494,0.48940979256124734,0.4894454316337306,0.5472361477979416,-0.027828854302415627,0.04452803754869363
FossilPeat[MW],0.7054305719908239,0.7681433006227065,0.8296253182311334,0.45902668126658325,1.0,0.20439687676608062,0.35913484294073683,0.7002592007721447,0.5936208763826042,0.8889611008947963,-0.029250159969944626,-0.25780556718108943,0.05067970023425326,0.13332362270585926,0.12487900867478346,0.8037850664396397,0.8038070217702867,0.8412048211483101,-0.13684773478402662,0.16330635422711975
HydroPumpedStorage[MW],0.1587618031520344,0.43728905084786035,0.3634820808213194,0.01340918524923775,0.20439687676608062,1.0,-0.3603761509109126,0.5675283559450224,0.030962405684718412,0.19010412049027228,0.07772556295266929,0.0414687390627329,0.03327541951082742,-0.36143500057110156,-0.42728051233578684,0.3470990578149976,0.34783426007771745,0.2566859765394064,-0.5130998824058509,0.5165703512572342
HydroRun-of-riverandpoundage[MW],0.427410470630292,0.1373914755760543,0.24064352292328686,0.35798457168924186,0.35913484294073683,-0.3603761509109126,1.0,0.28725724635930316,0.334580709514291,0.38058578761204775,-0.19067742226902684,-0.06175496862068558,0.17358598038304593,0.16772507572956102,0.12578759266321787,0.4198435678653029,0.41918707548420153,0.4682462753776401,-0.04941127702376643,0.058793712667264776
HydroWaterReservoir[MW],0.607338755746442,0.799570353537567,0.7413681035081218,0.40737046666800586,0.7002592007721447,0.5675283559450224,0.28725724635930316,1.0,0.4437130236795972,0.7296208147382263,-0.06527265783150507,-0.06556568380032568,0.22996655502044355,-0.21735389101075606,-0.34482624618020835,0.8617696386848216,0.8617544726974572,0.7970952497230557,-0.6230369531014952,0.6398918565771737
Nuclear[MW],0.6659440587521565,0.6283493853662077,0.6518191267291262,0.4102949822144308,0.5936208763826042,0.030962405684718412,0.334580709514291,0.4437130236795972,1.0,0.7101473405437702,0.0283816541003936,-0.28818521842867245,-0.01835347175108026,0.16095035205392516,0.29222985630938786,0.7914273341792781,0.7914347008844673,0.7506011266801023,0.041547101543330814,-0.013079539711232907
Other[MW],0.7541143740040713,0.826933328755313,0.8606373914341788,0.5113510605235646,0.8889611008947963,0.19010412049027228,0.38058578761204775,0.7296208147382263,0.7101473405437702,1.0,-0.05036305084613556,-0.10856338414341868,0.09328642997534566,0.09389386554799391,0.1394995459073168,0.8694464263874757,0.8695362847307727,0.8972086355378159,-0.14669655252965288,0.16259499588273665
Otherrenewable[MW],-0.08716568191269505,-0.04368716992811364,0.029939476783871308,-0.19447455688327991,-0.029250159969944626,0.07772556295266929,-0.19067742226902684,-0.06527265783150507,0.0283816541003936,-0.05036305084613556,1.0,-0.12045873781136753,-0.27385117507491613,0.057219075338895656,0.020982736688282145,-0.020912194903949848,-0.021156038677120605,-0.055751405456488705,0.0643509238932238,-0.060246387110712576
Solar[MW],-0.28332470963513573,-0.1973312632668996,-0.26525030119170256,-0.1378175940567863,-0.25780556718108943,0.0414687390627329,-0.06175496862068558,-0.06556568380032568,-0.28818521842867245,-0.10856338414341868,-0.12045873781136753,1.0,0.09755208460343442,-0.20879574177275548,-0.1957406166364106,-0.21296059428240677,-0.21301783864032758,-0.20358740397139347,-0.15650480942574838,0.08045256629735537
