Time,Biomass[MW],FossilGas[MW],FossilHardcoal[MW],FossilOil[MW],FossilPeat[MW],HydroRun-of-riverandpoundage[MW],HydroWaterReservoir[MW],Nuclear[MW],Other[MW],Otherrenewable[MW],Solar[MW],Waste[MW],WindOffshore[MW],WindOnshore[MW],Inertia[GW],Total_production,Share_Wind,Share_Conv
2017-01-01 00:00:00,1526.0,999.0,1329.0,18.0,424.0,1694.0,13224.0,11801.0,1220.0,46.0,0.0,194.0,1075.0,7005.0,195.0,40555.0,0.19923560596720502,0.7996301319196153
2017-01-01 01:00:00,1517.0,989.0,1244.0,18.0,436.0,1686.0,13043.0,11801.0,1231.0,47.0,0.0,209.0,1068.0,6527.0,193.0,39816.0,0.19075246132208157,0.8080671087000201
2017-01-01 02:00:00,1520.0,1087.0,1168.0,20.0,435.0,1628.0,12877.0,11799.0,1228.0,47.0,0.0,206.0,1157.0,6059.0,193.0,39231.0,0.183936172924473,0.8148657949070888
2017-01-01 03:00:00,1665.0,1170.0,1256.0,17.0,454.0,1586.0,12701.0,11803.0,1235.0,47.0,0.0,203.0,1141.0,5438.0,192.0,38716.0,0.16992974480834797,0.8288562868064883
2017-01-01 04:00:00,1625.0,1196.0,1244.0,17.0,463.0,1612.0,12790.0,11803.0,1263.0,47.0,0.0,200.0,1133.0,5105.0,191.0,38498.0,0.1620343913969557,0.8367447659618682
2017-01-01 05:00:00,1618.0,1184.0,1199.0,18.0,476.0,1613.0,13200.0,11806.0,1300.0,47.0,0.0,194.0,902.0,4836.0,191.0,38393.0,0.14945432761180424,0.8493214908967781
2017-01-01 06:00:00,1653.0,1213.0,1254.0,19.0,485.0,1721.0,14001.0,11807.0,1282.0,47.0,0.0,211.0,735.0,4584.0,192.0,39012.0,0.13634266379575516,0.8624525786937353
2017-01-01 07:00:00,1620.0,1214.0,1221.0,19.0,499.0,1799.0,14490.0,11808.0,1310.0,47.0,0.0,215.0,796.0,4384.0,194.0,39422.0,0.1313987113794328,0.8674090609304449
2017-01-01 08:00:00,1570.0,1209.0,1375.0,21.0,504.0,1832.0,14883.0,11807.0,1301.0,48.0,0.0,215.0,804.0,4235.0,198.0,39804.0,0.12659531705356245,0.8721987739925635
2017-01-01 09:00:00,1558.0,1214.0,1498.0,26.0,503.0,1939.0,15968.0,11809.0,1290.0,47.0,2.0,216.0,779.0,3978.0,198.0,40827.0,0.11651603105787836,0.8822837827908002
2017-01-01 10:00:00,1575.0,1219.0,1485.0,23.0,499.0,2027.0,17770.0,11810.0,1292.0,48.0,12.0,216.0,772.0,3676.0,202.0,42424.0,0.10484631340750518,0.8937393927965303
